Wl;L (W m-2 ste-1 nm-1);fwhm
477.36;0.43128657;
477.6;0.4342367;
477.84;0.43791968;
478.08;0.43991481;
478.32;0.43922565;
478.56;0.43642559;
478.8;0.4342058;
479.04;0.43368315;
479.28;0.43431891;
479.52;0.43554893;
479.76;0.4376314;
480;0.4411646;
480.24;0.44288138;
480.48;0.44190946;
480.72;0.43908134;
480.96;0.43672266;
481.2;0.43444026;
481.44;0.43321341;
481.68;0.43345627;
481.92;0.43295711;
482.16;0.43149968;
482.4;0.42945098;
482.64;0.42701509;
482.88;0.42640705;
483.12;0.42728056;
483.36;0.42370969;
483.6;0.41655904;
483.84;0.40570877;
484.08;0.38725128;
484.32;0.36746916;
484.56;0.35227991;
484.8;0.34854154;
485.04;0.35681717;
485.28;0.37018061;
485.52;0.38081575;
485.76;0.38719283;
486;0.39368153;
486.24;0.40150549;
486.48;0.40755421;
486.72;0.40793227;
486.96;0.40467047;
487.2;0.39993249;
487.44;0.39584317;
487.68;0.39708447;
487.92;0.40554374;
